messy_vendor,matched_vendor,score,method,counterparty,location
"Interstate Waste Services of CT, LLC","Interstate Waste Services of CT, LLC",100.0,global,001453-001 - 511 Benedict AVE,001453-001 - 511 Benedict AVE
SANITATION,CRP Sanitation Inc,71.42857142857143,constrained,001453-001 - 511 Benedict AVE,001453-001 - 511 Benedict AVE
"Interstate Waste Services of New Jersey, Inc.",Interstate Waste Services,73.52941176470588,constrained,001461-001 - 62 Flanders Bartley Dr,001461-001 - 62 Flanders Bartley DR
APEX WASTE,Apex Waste,100.0,constrained,001474-001 - 3400 Middlebury ST,001474-001 - 3400 Middlebury ST
MERIDIAN\nWASTE,MERIDIAN WASTE,92.85714285714286,constrained,001477-001 - 2310 Presidential DR,001477-001 - 2310 Presidential DR
casella CASELLA MAJOR ACCOUNTS SERVICES LLC,Casella Major Accounts Services LLC,89.74358974358975,global,001480-001 - 14 Walker WAY,001480-001 - 14 Walker WAY
Adam's Disposal Service,"Adam's Disposal & Recycling Service, LLC",75.86206896551724,constrained,001481-001 - 398/402 Industrial DR,001481-001 - 398/402 Industrial DR
WIN Waste Innovations,WIN WASTE INNOVATIONS,100.0,constrained,001483-001 - 268 W Cummings PARK,001483-001 - 268 W Cummings PARK
121 Disposal,121 Disposal Company,75.0,constrained,001484-001 - 2231 4TH AVE S,001484-001 - 2231 4TH AVE S
KC DISPOSAL,KC DISPOSAL,100.0,constrained,001488-001 - 9012 Cody ST,001488-001 - 9012 Cody ST
Harley Hollan,Harley Hollan Companies,72.22222222222221,constrained,001490-001 - 2341 W Albany St,001490-001 - 2341 W Albany ST
HARLEY HOLLAN COMPANIES,Harley Hollan Companies,100.0,constrained,001490-001 - 2341 W Albany ST,001490-001 - 2341 W Albany ST
CITY OF CULVER CITY,City of Culver City,100.0,constrained,001493-001 - 6140 Bristol PKWY,001493-001 - 6140 Bristol PKWY
REPUBLIC\nSERVICES,Republic Services,94.11764705882352,constrained,001495-001-6320 Annie Oakley Dr,001495-001 - 6320 Annie Oakley DR
"WASTE MANAGEMENT, INC.",Waste Management - National,71.11111111111111,constrained,001502-001 - 26563 Corporate AVE,001502-001 - 26563 Corporate AVE
"& Trash Removal, Inc.","J&K Trash Removal, Inc",91.89189189189189,constrained,001504-001 - 101 Great Valley PKWY,001504-001 - 101 Great Valley PKWY
J & K Trash Removal,"J&K Trash Removal, Inc",86.48648648648648,constrained,001504-001 - 101 Great Valley PKWY,001504-001 - 101 Great Valley PKWY
"Trash Removal, Inc.","J&K Trash Removal, Inc",91.89189189189189,constrained,001504-001 - 101 Great Valley PKWY,001504-001 - 101 Great Valley PKWY
Coastal Waste & Recycling,Coastal Waste & Recycling,100.0,constrained,001505-001 - 5553 Anglers,001505-001 - 5553 Anglers AVE
WASTE MASTERS,Waste Masters Solutions,72.22222222222221,constrained,001507-001 - 100 GBC DR Bldg 100,001507-001 - 100 GBC DR Bldg 100
Waste Masters Solutions,Waste Masters Solutions,100.0,constrained,001507-001 - 100 GBC DR Bldg 100,001507-001 - 100 GBC DR Bldg 100
FCC Environmental Services,Houston Waste Services - FCC Environmental,78.78787878787878,constrained,001527-001 - 1028 DReyfus ST,001527-001 - 1028 DReyfus ST
Houston Waste,Hudson Waste,88.0,global,001527-001 - 1028 DReyfus ST,001527-001 - 1028 DReyfus ST
UNIVERSAL WASTE SYSTEMS INC.,UNIVERSAL WASTE SYSTEMS,92.0,constrained,"001551-001 - 8360 Camino Santa FE, Suite F","001551-001 - 8360 Camino Santa FE, Suite F"
WESTERN ELITE,Western Elite,100.0,constrained,001618-001 - 6863 Spencer ST,001618-001 - 6863 Spencer ST
WASTE CONNECTIONS LONE STAR INC,Waste Connections - Lone Star 5150,85.71428571428572,constrained,001622-001 - 9825 Spectrum Dr,001622-001 - 9825 Spectrum Dr
Flood Brothers DISPOSAL/,Flood Brothers,75.67567567567568,constrained,001943-001 - 390 Kent AVE,001943-001 - 390 Kent AVE
FLOOD BROTHERS DISPOSAL,Flood Brothers,75.67567567567568,constrained,001943-001 - 390 Kent Ave,001943-001 - 390 Kent AVE
Quality Waste,QUALITY WASTE,100.0,constrained,0035 - Dandridge Main Office,0035 - Dandridge Main Office
Sid's Garage,Sid's Garbage Pick up,70.96774193548387,constrained,0068 - Kingsport Main Office,0068 - Kingsport Main Office
Sid's Garbage,Sid's Garbage Pick up,75.0,constrained,0068 - Kingsport Main Office,0068 - Kingsport Main Office
Sid's Garbage Pickup,Sid's Garbage Pick up,87.17948717948718,constrained,0068 - Kingsport Main Office,0068 - Kingsport Main Office
"Waste Connections of TENNESSEE, Inc",Waste Connections - Tennessee 6032,81.81818181818181,constrained,0074 - Downtown West,0074 - Downtown West
"MOORE COAL CO., INC.",MOORE COAL,74.07407407407408,constrained,010030 - ABERNANT MAIN OFFICE,010030 - ABERNANT MAIN OFFICE
Hale County Solid Waste Department,Hale County Solid Waste - AL,76.66666666666666,constrained,010090 - AKRON MAIN OFFICE,010090 - AKRON MAIN OFFICE
MERIDIAN WASTE - AL,MERIDIAN WASTE,90.32258064516128,constrained,010440 - ATTALLA MAIN OFFICE,010440 - ATTALLA MAIN OFFICE
Ecosouth Services,Ecosouth Services of Mobile LLC,70.83333333333333,constrained,010480 - AXIS MAIN OFFICE,010480 - AXIS MAIN OFFICE
RUMSEY ENVIRONMENTAL A WASTE CONNECTIONS COMPANY,Waste Connections - Rumsey Environmental 6081,85.71428571428572,constrained,011140 - BROOKWOOD MAIN OFFICE,011140 - BROOKWOOD MAIN OFFICE
RUMSEY ENVIRONMENTAL\nA WASTE CONNECTIONS COMPANY,Waste Connections - Rumsey Environmental 6081,85.71428571428572,constrained,011140 - BROOKWOOD MAIN OFFICE,011140 - BROOKWOOD MAIN OFFICE
Blount Hauling,County Hauling,85.71428571428572,global,011320 - CALERA MAIN OFFICE,011320 - CALERA MAIN OFFICE
"ENVIRONMENTAL SERVICES, INC.",Martin Envionmental Services Inc,86.20689655172413,constrained,012090 - COTTONWOOD MAIN OFFICE,012090 - COTTONWOOD MAIN OFFICE
MARTIN ENVIRONMENTAL SVCS,Martin Envionmental Services Inc,84.21052631578947,constrained,012090 - COTTONWOOD MAIN OFFICE,012090 - COTTONWOOD MAIN OFFICE
Lawrence County Solid Waste,Lawrence County Solid Waste - Alabama,87.09677419354838,constrained,012100 - COURTLAND MAIN OFFICE,012100 - COURTLAND MAIN OFFICE
Lawrence County Solid Waste Department,Lawrence County Solid Waste - Alabama,73.97260273972603,constrained,012100 - COURTLAND MAIN OFFICE,012100 - COURTLAND MAIN OFFICE
Wasteology,Wasteology,100.0,global,012100 - COURTLAND MAIN OFFICE,012100 - COURTLAND MAIN OFFICE
"Hamilton Alliance, Inc.","Hamilton Alliance, Inc",100.0,constrained,0122 - First Ops,0122 - First Ops
Waste Connections of Tennessee,Waste Connections - Tennessee 6010,87.09677419354838,constrained,0122 - First Ops,0122 - First Ops
AMWASTE,AMWASTE,100.0,constrained,012240 - CUSSETA MAIN OFFICE,012240 - CUSSETA MAIN OFFICE
POWELL SANITATION DEPARTMENT,Powell Sanitation,75.55555555555556,constrained,012340 - DAWSON MAIN OFFICE/MOD BLDG,012340 - DAWSON MAIN OFFICE/MOD BLDG
ecosouth services,Ecosouth Services of Mobile LLC,70.83333333333333,constrained,012930 - FAIRHOPE MAIN OFFICE,012930 - FAIRHOPE MAIN OFFICE
City of Fayette,"City of Fayette, AL",90.9090909090909,constrained,012990 - FAYETTE MAIN OFFICE,012990 - FAYETTE MAIN OFFICE
Jake's Dumpsters,"Jakes Dumpsters, LLC",88.23529411764706,constrained,0130 - Memphis Main,0130 - Memphis Main
Jakes Dumpster,"Jakes Dumpsters, LLC",84.84848484848484,constrained,0130 - Memphis Main,0130 - Memphis Main
Jakes Dumpsters,"Jakes Dumpsters, LLC",88.23529411764706,constrained,0130 - Memphis Main,0130 - Memphis Main
"ARROW DISPOSAL SERVICE, INC.",Arrow Disposal,70.0,constrained,013332 - GADSDEN EAST GADSDEN STA,013332 - GADSDEN EAST GADSDEN STA
CITY OF RAINSVILLE,City of Rainsville Solid Waste - AL,70.58823529411764,constrained,013490 - GERALDINE MAIN OFFICE,013490 - GERALDINE MAIN OFFICE
City of Rainsville Solid Waste,City of Rainsville Solid Waste - AL,95.23809523809523,constrained,013490 - GERALDINE MAIN OFFICE,013490 - GERALDINE MAIN OFFICE
marion County Solid Waste,Marion County Solid Waste - AL,94.33962264150944,constrained,01380- Hackelburg Main Office,013810 - HACKLEBURG MAIN OFFICE
Marion County Solid Waste,Marion County Solid Waste - AL,94.33962264150944,constrained,013810 - HACKLEBURG MAIN OFFICE,013810 - HACKLEBURG MAIN OFFICE
Marion County Solid Waste Department,Marion County Solid Waste - AL,78.125,constrained,013860 - HAMILTON MAIN OFFICE,013860 - HAMILTON MAIN OFFICE
"Mark Dunning Industries, Inc.",MDI - Mark Dunning Industries Inc,93.10344827586206,constrained,014350 - JACK MAIN OFFICE,014350 - JACK MAIN OFFICE
Martin Environmental,Martin Envionmental Services Inc,73.07692307692308,constrained,015070 - LOWNDESBORO MAIN OFFICE,015070 - LOWNDESBORO MAIN OFFICE
"Martin ENVIRONMENTAL SERVICES, INC.",Martin Envionmental Services Inc,98.46153846153847,constrained,015070 - LOWNDESBORO MAIN OFFICE,015070 - LOWNDESBORO MAIN OFFICE
SOLID WASTE DISPOSAL AUTHORITY OF BA,Solid Waste Disposal Authority Baldwin County,81.4814814814815,constrained,015220 - MAGNOLIA SPRINGS MAIN OFFICE,015220 - MAGNOLIA SPRINGS MAIN OFFICE
TRASH TAXI of ALABAMA LLC,"Trash Taxi of Alabama, LLC",100.0,constrained,015410 - MAYLENE MAIN OFFICE,015410 - MAYLENE MAIN OFFICE
CITY OF HENAGAR,City of Henagar,100.0,constrained,015450 - MENTONE MAIN OFFICE,015450 - MENTONE MAIN OFFICE
City of Henager,City of Henagar,93.33333333333333,constrained,015450 - MENTONE MAIN OFFICE,015450 - MENTONE MAIN OFFICE
Plum Creek Environmental Technologies LLC,Plum Creek Environmental Technologies Llc,100.0,global,015450 - MENTONE MAIN OFFICE,015450 - MENTONE MAIN OFFICE
IN ENVIRONMENTAL SVCS,Martin Envionmental Services Inc,75.47169811320755,constrained,015580 - MINTER MAIN OFFICE SITE,015580 - MINTER MAIN OFFICE SITE
EcoSouth Services,Ecosouth Services of Mobile LLC,70.83333333333333,constrained,015600 - MOBILE CRICHTON STATION,015600 - MOBILE CRICHTON STATION
SOLID WASTE AUTHORITY BALDWIN COUNTY,Baldwin County Solid Waste Authority- AL,96.0,constrained,015640 - MONTROSE MAIN OFFICE,015640 - MONTROSE MAIN OFFICE
County Solid Waste Department,Lawrence County Solid Waste - Alabama,71.875,constrained,015690 - MOULTON MAIN OFFICE,015690 - MOULTON MAIN OFFICE
GFL Environmental,GFL Environmental,100.0,global,0161 - Morristown Main,0161 - Morristown Main Office
Southeast Waste Disposal,Southeast Waste Disposal - SWD,92.3076923076923,constrained,016850 - RED LEVEL MAIN OFFICE,016850 - RED LEVEL MAIN OFFICE
Jackson County Solid Waste,Jackson County Solid Waste - AL,94.54545454545455,constrained,017360 - SECTION MAIN OFFICE,017360 - SECTION MAIN OFFICE
Richardson Waste,RICHARDSON WASTE REMOVAL,80.0,constrained,018140 - TONEY MAIN OFFICE,018140 - TONEY MAIN OFFICE
Richardson Waste Removal,RICHARDSON WASTE REMOVAL,100.0,constrained,018140 - Toney Main Office,018140 - TONEY MAIN OFFICE
RICHARDSON WASTE REMOVAL LLC,RICHARDSON WASTE REMOVAL,92.3076923076923,constrained,018140 - TONEY MAIN OFFICE,018140 - TONEY MAIN OFFICE
121 Disposal Co.,121 Disposal Company,85.71428571428572,constrained,018700 - WEOGUFKA MAIN OFFICE (MOD BLDG),018700 - WEOGUFKA MAIN OFFICE (MOD BLDG)
Waste Connections - Tennessee,Waste Connections - Tennessee 6010,91.52542372881356,constrained,0213 - Collierville Main,0213 - Collierville Main
East Tennessee Junk Away,East Tennessee Junk Away,100.0,constrained,0258 - Maryville Operations Center,0258 - Maryville Operations Center
"COX DISPOSAL, INC.",Cox Disposal,85.71428571428572,constrained,0293 - Memorial Blvd,0293 - Memorial Blvd
"Direct Waste Services, Inc",Direct Waste Services,91.30434782608697,constrained,0332371 - Elizabeth Roselle Branch,332371 - Elizabeth Roselle Branch
VARNER BROS INC,"Varner Bros., Inc",100.0,constrained,050464 - BAKERSFIELD P&DC,050464 - Bakersfield P&DC
FALLBROOK WASTE & RECYCLING,Edco - Fallbrook Waste & Recycling,90.9090909090909,constrained,052592 - FALLBROOK MAIN OFFICE,052592 - FALLBROOK MAIN OFFICE
environmental services,FCC Environmental Services,91.66666666666666,global,055664 - ORANGE  MAIN OFFICE,055664 - ORANGE MAIN OFFICE
Atlas Disposal,"Atlas Disposal, LLC",87.5,constrained,056679 - SACRAMENTO P&DC,056679 - SACRAMENTO P&DC
WARE DISPOSAL,"Ware Disposal, Inc",86.66666666666667,constrained,056755 - San Diego Penasquitos Station,056755 - San Diego Penasquitos Station
"USA WASTE & RECYCLING, INC.",USA Waste & Recycling,90.47619047619048,constrained,083351 - HARTFORD ELMWOOD BRANCH,083351 - HARTFORD ELMWOOD BRANCH
Paine's,"Paine's, Inc",75.0,constrained,089554-01-01 - Winsted Detached Postal Unit,089554 - Winsted Detached Postal Unit
Charlie's Waste Services,Charlie's Waste Services,100.0,constrained,096820 - WILMINGTON NEWPORT/STANTON BR,096820 - WILMINGTON NEWPORT/STANTON BR
AMERICAN DISPOSAL,American Disposal Systems-PA,77.27272727272727,constrained,1 HOG ISLAND RD,PAPHA - 1 Hog Island Rd
"kmG HAULING, INC",KMG HAULING INC,100.0,constrained,10008 - 8350 Alban Rd,10008 - 8350 Alban Rd
PATRIOT DISPOSAL,PATRIOT DISPOSAL,100.0,constrained,10016 - 22270 Pacific Blvd,10016 - 22270 Pacific Blvd
Patriot Disposal,PATRIOT DISPOSAL,100.0,constrained,10016 - 22270 Pacific Blvd,10016 - 22270 Pacific Blvd
Patriot Disposal Inc.,PATRIOT DISPOSAL,88.88888888888889,constrained,10016 - 22270 Pacific Blvd,10016 - 22270 Pacific Blvd
"ECO-TECH, LLC",Ecotech,77.77777777777779,constrained,105 - New Albany,105 - New Albany
City of Denton,City of Denton,100.0,constrained,1058 PetSmart - 1441 S Loop 288,1058 PetSmart - 1441 S Loop 288
Lawrence Waste Services,LAWRENCE WASTE SERVICES CORP,90.19607843137256,global,1063 West St,
"WASTE CONNECTIONS OF COLORADO, INC",Waste Connections of Colorado - Denver,89.85507246376811,constrained,1071 PetSmart - 11183 A S Parker Rd,1071 PetSmart - 11183 A S Parker Rd
"VELPEN TRUCKING & DISPOSAL CO, INC",Velpen Trucking & Disposal,87.27272727272728,constrained,108 - Jasper,108 - Jasper
RUMPKE,Rumpke,100.0,constrained,109 - Seymour,109 - Seymour
RESOURCES LLC,"Renewable Resources, LLC",72.22222222222221,constrained,110 - Boonville,110 - Boonville
Rumpke,Rumpke,100.0,constrained,114 - Cynthiana,114 - Cynthiana
OLYMPIC IV MALL SERVICES,Olympic IV Mall Services,100.0,constrained,114 LEGO The Village at Meridian ID,114 LEGO The Village at Meridian ID
Community Disposal,Community Disposal Service,81.81818181818181,constrained,114381 - JACKSONVILLE NDC,114381 - JACKSONVILLE NDC
Choice Waste Services,Charlie's Waste Services,86.36363636363636,global,1174 PetSmart - 1160 Stafford Market Pl,1174 PetSmart - 1160 Stafford Market Pl
DOLL'S DISPOSAL LLC,Doll's Disposal,87.5,constrained,119 - Greencastle,119 - Greencastle
Wright's Environmental,Wright's Environmental,100.0,constrained,120352 - ARMUCHEE MAIN OFFICE,120352 - ARMUCHEE MAIN OFFICE
"ROLL OFF SYSTEMS, Inc.",Roll off Systems,88.88888888888889,constrained,121233 - BUFORD EAST CARRIER ANNEX,121233 - BUFORD EAST CARRIER ANNEX
Wrights Environmental,Wright's Environmental,100.0,constrained,122079 - COOSA MAIN OFFICE,122079 - COOSA MAIN OFFICE
"WASTELESS SOLUTIONS, LLC",Wasteless Solutions,90.47619047619048,constrained,123 LEGO Coolsprings Galleria TN,123 LEGO Coolsprings Galleria TN
"Himco Waste-Away Service, Inc.",Himco Waste Away Services,73.07692307692308,constrained,124 - Goshen,124 - Goshen
"HIMCO WASTE-AWAY SERVICE, LLC",Himco Waste Away Services,73.07692307692308,constrained,124 - Goshen,124 - Goshen
CURBSIDE SERVICES INC,Curbside Services Inc.,100.0,constrained,124246 - HIGH SHOALS MAIN OFFICE,124246 - HIGH SHOALS MAIN OFFICE
"Curbside Services, Inc",Curbside Services Inc.,100.0,constrained,124246 - HIGH SHOALS MAIN OFFICE,124246 - HIGH SHOALS MAIN OFFICE
Northern Waste,Northern Waste,100.0,constrained,1249 AK007 Health Park Parking Garage,1249 AK007 Health Park Parking Garage
"FISK WASTE REMOVAL SERVICES, INC.",Fisk Waste Removal Services,93.10344827586206,constrained,125 - Greenville,125 - Greenville
"RHINO WASTE & RECYCLING,",Rhino Waste & Recycling Inc.,91.30434782608697,constrained,125126 - LINDALE MAIN OFFICE,125126 - LINDALE MAIN OFFICE
"RHINO WASTE & RECYCLING, INC.",Rhino Waste & Recycling Inc.,100.0,constrained,125126 - LINDALE MAIN OFFICE,125126 - LINDALE MAIN OFFICE
"RHINO\nWASTE & RECYCLING, INC.",Rhino Waste & Recycling Inc.,96.0,constrained,125126 - LINDALE MAIN OFFICE,125126 - LINDALE MAIN OFFICE
"WASTE & RECYCLING, INC.",Rhino Waste & Recycling Inc.,86.36363636363636,constrained,125126 - LINDALE MAIN OFFICE,125126 - LINDALE MAIN OFFICE
GROGAN DISPOSAL COMPANY,Grogan Disposal Company LLC,92.0,constrained,125566 - MARBLE HILL MAIN OFFICE,125566 - MARBLE HILL MAIN OFFICE
Corporate Services Consultants,"Corporate Services Consultants, LLC",93.75,constrained,1256 Charlotte-McMullen Creek Market-AM-Retai,1256 Charlotte-McMullen Creek Market-AM-Retai
"Corporate Services Consultants, LLC","Corporate Services Consultants, LLC",100.0,constrained,1256 Charlotte-McMullen Creek Market-AM-Retai,1256 Charlotte-McMullen Creek Market-AM-Retai
North Georgia Waste,North Georgia Waste LLC,90.47619047619048,constrained,125962 - MINERAL BLUFF MAIN OFFICE,125962 - MINERAL BLUFF MAIN OFFICE
Walters Recycling,"Walter's Recycling & Refuse, Inc.",75.55555555555556,constrained,1269 Minneapolis - Uptown,1269 Minneapolis - Uptown
Walters Recycling & Refuse,"Walter's Recycling & Refuse, Inc.",92.3076923076923,constrained,1269 Minneapolis - Uptown,1269 Minneapolis - Uptown
RENTALS OF AMERICA,American Rentals,88.23529411764706,global,127 - Louisville PT,127 - Louisville PT
ASPEN WASTE SYSTEMS INC.,"Aspen Waste Systems of Missouri, Inc",79.3103448275862,constrained,1270 St. Paul - Energy Park Ops Ctr,1270 St. Paul - Energy Park Ops Ctr
ASPEN WASTE SYSTEMS OF MINNESOTA INC.,"Aspen Waste Systems of Missouri, Inc",87.32394366197182,constrained,1270 St. Paul - Energy Park Ops Ctr,1270 St. Paul - Energy Park Ops Ctr
CWS Chattanooga Hauling,CWS - Chattnooga Hauling,97.77777777777777,global,127414 - RINGGOLD MAIN OFFICE,127414 - RINGGOLD MAIN OFFICE
"Nitti SANITATION, INC.","NITTI SANITATION, INC",100.0,constrained,1275 Chanhassen - Century Blvd,1275 Chanhassen - Century Blvd
West Georgia Sanitation,West Georgia Sanitation,100.0,constrained,127568 - ROOPVILLE MAIN OFFICE,127568 - ROOPVILLE MAIN OFFICE
Residential Waste Services,Pollard Construction & Residential Waste Services,71.23287671232876,constrained,127766 - SARGENT MAIN OFFICE,127766 - SARGENT MAIN OFFICE
WASTEOLOGY,Wasteology,100.0,global,128 - Muncie,128 - Muncie
THE TRASH MAN,The Trash Man,100.0,constrained,129 - Terre Haute CC,129 - Terre Haute CC
WASTE MANAGEMENT INC. OF FLORIDA,"Waste Management - Corporate Services, Inc",71.42857142857143,constrained,129 LEGO Esplanade Mall FL,129 LEGO Esplanade Mall FL
DENALI REFUSE,Denali Refuse,100.0,constrained,1292 AK094 18795115 Valley MOB,1292 AK094 18795115 Valley MOB
DENALI\nREFUSE,Denali Refuse,92.3076923076923,constrained,1292 AK094 18795115 Valley MOB,1292 AK094 18795115 Valley MOB
Dick's Sanitation Inc.,"DAN'S SANITATION, INC",87.17948717948718,global,1300 Apple Valley - Garrett Ave,1300 Apple Valley - Garrett Ave
"DICKS SANITATION SERVICE, INC.",Ace Sanitation Service Inc.,88.88888888888889,global,1300 Apple Valley - Garrett Ave,1300 Apple Valley - Garrett Ave
WALTERS RECYCLING & REFUSE INC,"Walter's Recycling & Refuse, Inc.",100.0,constrained,1310 St. Paul - Battle Creek,1310 St. Paul - Battle Creek
Elite Roll-Off Solutions LLC,Elite Roll-Off Solutions LLC,100.0,constrained,132 - Elkhart,132 - Elkhart
LRS,LRS,100.0,constrained,132 - Elkhart,132 - Elkhart
Nitti Sanitation Inc.,"NITTI SANITATION, INC",100.0,constrained,1320 Bloomington - Main,1320 Bloomington - Main
ASPEN WASTE,Apex Waste,85.71428571428572,global,1323 Hopkins - Excelsior,1323 Hopkins - Excelsior
"SANITATION, INC.","NITTI SANITATION, INC",82.35294117647058,constrained,1323 Hopkins - Excelsior,1323 Hopkins - Excelsior
TRASH KANS,"Trash Kans, LLC",83.33333333333334,constrained,133 - Lafayette,133 - Lafayette
TRASH TRASH KANS,"Trash Kans, LLC",73.33333333333334,constrained,133 - Lafayette,133 - Lafayette
"ABE'S TRASH SERVICE, INC.",Abe's Trash Service,90.0,global,134 LEGO Nebraska Crossing NE,
Total Disposal,Total Disposal,100.0,constrained,139 - Valparaiso,139 - Valparaiso
Apex Waste,Apex Waste,100.0,constrained,140 - Monticello,140 - Monticello
1-800-Got-Junk,1-800-GOT-JUNK National,70.96774193548387,constrained,141 - Noblesville,141 - Noblesville
GHW WASTE SERVICES,GHW Waste Services,100.0,constrained,141 - Noblesville,141 - Noblesville
WASTE SERVICES,GHW Waste Services,87.5,constrained,141 - Noblesville,141 - Noblesville
Grizzly Disposal & Recycling,Grizzly Disposal & Recycling,100.0,constrained,1420 MT041 95225086 Garden City Med Plaza,1420 MT041 95225086 Garden City Med Plaza
Missoula Compost,Missoula Compost,100.0,constrained,1421 MT043 46095101 Providence Plazas,1421 MT043 46095101 Providence Plazas
Missoula Compost LLC,Missoula Compost,88.88888888888889,constrained,1421 MT043 46095101 Providence Plazas,1421 MT043 46095101 Providence Plazas
Crown Waste & Recycling Systems LLC,"Crown Waste & Recycling Systems, LLC",100.0,constrained,1422 - Huntersville - Sam Furr Rd,1422 - Huntersville - Sam Furr Rd
ACE Recycling & Disposal,ACE RECYCLING AND DISPOSAL,91.66666666666666,constrained,1423 Riverton - Mountain View,1423 Riverton - Mountain View
