vendor_name,normalized,aggressive_normalized,invoice_count
"DISPOSAL SERVICE, INC.","DISPOSAL SERVICE, INC.",DISPOSAL SERVICE,14
QUEEN CITY DISPOSAL\nA WASTE CONNECTIONS COMPANY,QUEEN CITY DISPOSAL\NA WASTE CONNECTIONS COMPANY,QUEEN CITY DISPOSAL NA WASTE CONNECTIONS COMPANY,14
KNIGHTHORST SHRED,KNIGHTHORST SHRED,KNIGHTHORST SHRED,14
ROCK RIVER DISPOSAL SERVICES,ROCK RIVER DISPOSAL SERVICES,ROCK RIVER DISPOSAL SERVICES,14
CITY OF BOISE UTILITY BILLING SERVICES,CITY OF BOISE UTILITY BILLING SERVICES,CITY OF BOISE UTILITY BILLING SERVICES,14
BURRTEC WASTE & RECYCLING SVCS,BURRTEC WASTE & RECYCLING SVCS,BURRTEC WASTE RECYCLING SVCS,14
WASTE CONNECTIONS OF FLORIDA ORLANDO HAULING,WASTE CONNECTIONS OF FLORIDA ORLANDO HAULING,WASTE CONNECTIONS OF FLORIDA ORLANDO HAULING,14
WASTE STANDARD WASTE SERVICE,WASTE STANDARD WASTE SERVICE,WASTE STANDARD WASTE SERVICE,14
"WASTE CONNECTIONS OF WASHINGTON, INC","WASTE CONNECTIONS OF WASHINGTON, INC",WASTE CONNECTIONS OF WASHINGTON,14
RUMSEY ENVIRONMENTAL A WASTE CONNECTIONS COMPANY,RUMSEY ENVIRONMENTAL A WASTE CONNECTIONS COMPANY,RUMSEY ENVIRONMENTAL A WASTE CONNECTIONS COMPANY,13
CITY OF,CITY OF,CITY OF,13
WASTE SERVICE,WASTE SERVICE,WASTE SERVICE,13
GREEN PLANET 21,GREEN PLANET 21,GREEN PLANET 21,13
EARTHWISE,EARTHWISE,EARTHWISE,13
GILLS FREEPORT DISPOSAL,GILLS FREEPORT DISPOSAL,GILLS FREEPORT DISPOSAL,13
SONNY'S SOLID WASTE SERVICE INC,SONNY'S SOLID WASTE SERVICE INC,SONNY S SOLID WASTE SERVICE,13
WASTE ZERO,WASTE ZERO,WASTE ZERO,13
KIEFFER SANITATION\nA WASTE CONNECTIONS COMPANY,KIEFFER SANITATION\NA WASTE CONNECTIONS COMPANY,KIEFFER SANITATION NA WASTE CONNECTIONS COMPANY,13
The Holmberg Family,THE HOLMBERG FAMILY,THE HOLMBERG FAMILY,13
AMERICAN DISPOSAL SYSTEMS INC.,AMERICAN DISPOSAL SYSTEMS INC.,AMERICAN DISPOSAL SYSTEMS,13
WASTE CONNECTIONS OF FLORIDA\nORLANDO HAULING,WASTE CONNECTIONS OF FLORIDA\NORLANDO HAULING,WASTE CONNECTIONS OF FLORIDA NORLANDO HAULING,13
WASTE PRO\nCaring For Our Communities,WASTE PRO\NCARING FOR OUR COMMUNITIES,WASTE PRO NCARING FOR OUR COMMUNITIES,13
INTERSTATE INTERSTATE\nIWS\nWASTE SERVICES,INTERSTATE INTERSTATE\NIWS\NWASTE SERVICES,INTERSTATE INTERSTATE NIWS NWASTE SERVICES,13
"WASTE MANAGEMENT OF KENTUCKY, L.L.C.","WASTE MANAGEMENT OF KENTUCKY, L.L.C.",WASTE MANAGEMENT OF KENTUCKY,13
WASTE SYSTEMS Inc.,WASTE SYSTEMS INC.,WASTE SYSTEMS,13
PASCO HAULING,PASCO HAULING,PASCO HAULING,13
"WASTE CONNECTIONS OF KANSAS, INC","WASTE CONNECTIONS OF KANSAS, INC",WASTE CONNECTIONS OF KANSAS,12
MODERN CORPORATION,MODERN CORPORATION,MODERN CORPORATION,12
"Bliss Environmental Services, Inc.","BLISS ENVIRONMENTAL SERVICES, INC.",BLISS ENVIRONMENTAL SERVICES,12
Sanitation,SANITATION,SANITATION,12
Live Oak,LIVE OAK,LIVE OAK,12
Honolulu Disposal,HONOLULU DISPOSAL,HONOLULU DISPOSAL,12
CITY OF BOISE,CITY OF BOISE,CITY OF BOISE,12
City of Meridian - Utility Billing,CITY OF MERIDIAN - UTILITY BILLING,CITY OF MERIDIAN UTILITY BILLING,12
CITY OF NORTH LAS VEGAS,CITY OF NORTH LAS VEGAS,CITY OF NORTH LAS VEGAS,12
PANZARELLA,PANZARELLA,PANZARELLA,12
Anytime Waste,ANYTIME WASTE,ANYTIME WASTE,12
MERIDIAN WASTE- JAX,MERIDIAN WASTE- JAX,MERIDIAN WASTE JAX,12
WALL RECYCLING,WALL RECYCLING,WALL RECYCLING,12
WASTE CONNECTIONS\nOF GEORGIA,WASTE CONNECTIONS\NOF GEORGIA,WASTE CONNECTIONS NOF GEORGIA,12
BORO BW WIDE,BORO BW WIDE,BORO BW WIDE,12
Compactor Rental,COMPACTOR RENTAL,COMPACTOR RENTAL,12
"Marpan Supply Company, Inc.","MARPAN SUPPLY COMPANY, INC.",MARPAN SUPPLY COMPANY,12
"Five Star Waste Div of TTS, LLC.","FIVE STAR WASTE DIV OF TTS, LLC.",FIVE STAR WASTE DIV OF TTS,11
SSW - FRONTLOAD,SSW - FRONTLOAD,SSW FRONTLOAD,11
RUMSEY ENVIRONMENTAL\nA WASTE CONNECTIONS COMPANY,RUMSEY ENVIRONMENTAL\NA WASTE CONNECTIONS COMPANY,RUMSEY ENVIRONMENTAL NA WASTE CONNECTIONS COMPANY,11
"WASTE CONNECTIONS OF IOWA, INC.","WASTE CONNECTIONS OF IOWA, INC.",WASTE CONNECTIONS OF IOWA,11
"SOLID WASTE, INC.","SOLID WASTE, INC.",SOLID WASTE,11
IGLIARO INDUSTRIES,IGLIARO INDUSTRIES,IGLIARO INDUSTRIES,11
Boston Baler & Hydraulics,BOSTON BALER & HYDRAULICS,BOSTON BALER HYDRAULICS,11
Stevens Disposal & Re,STEVENS DISPOSAL & RE,STEVENS DISPOSAL RE,11
J & J Services,J & J SERVICES,J J SERVICES,11
Houston South,HOUSTON SOUTH,HOUSTON SOUTH,11
Sanitary Service,SANITARY SERVICE,SANITARY SERVICE,11
Best Cleaner,BEST CLEANER,BEST CLEANER,11
Western,WESTERN,WESTERN,11
ENVIRON. SVC.,ENVIRON. SVC.,ENVIRON SVC,11
City of North Las Vegas,CITY OF NORTH LAS VEGAS,CITY OF NORTH LAS VEGAS,11
Wise Environmental,WISE ENVIRONMENTAL,WISE ENVIRONMENTAL,11
TEXAS PRIDE DISPOSAL,TEXAS PRIDE DISPOSAL,TEXAS PRIDE DISPOSAL,11
ORLANDO WASTE PAPER CO INC,ORLANDO WASTE PAPER CO INC,ORLANDO WASTE PAPER,11
CONEX,CONEX,CONEX,11
"Detroit Disposal &\nDISPOSAL Recycling, LLC","DETROIT DISPOSAL &\NDISPOSAL RECYCLING, LLC",DETROIT DISPOSAL NDISPOSAL RECYCLING,11
RUMPKE OF OHIO INC,RUMPKE OF OHIO INC,RUMPKE OF OHIO,11
"Himco Waste-Away Service, Inc.","HIMCO WASTE-AWAY SERVICE, INC.",HIMCO WASTE AWAY SERVICE,10
"HIMCO WASTE-AWAY SERVICE, LLC","HIMCO WASTE-AWAY SERVICE, LLC",HIMCO WASTE AWAY SERVICE,10
"FCC Environmental Services Florida, LLC","FCC ENVIRONMENTAL SERVICES FLORIDA, LLC",FCC ENVIRONMENTAL SERVICES FLORIDA,10
PANZARELLA WASTE,PANZARELLA WASTE,PANZARELLA WASTE,10
Curbside Roll Off Inc,CURBSIDE ROLL OFF INC,CURBSIDE ROLL OFF,10
Indiana Waste,INDIANA WASTE,INDIANA WASTE,10
ANYTIME\nWASTE SYSTEMS,ANYTIME\NWASTE SYSTEMS,ANYTIME NWASTE SYSTEMS,10
WASTE PRO Haul,WASTE PRO HAUL,WASTE PRO HAUL,10
Waste Connections,WASTE CONNECTIONS,WASTE CONNECTIONS,10
MAZZA,MAZZA,MAZZA,10
FILCO,FILCO,FILCO,10
£\nAthens Services,£\NATHENS SERVICES,NATHENS SERVICES,10
HAULING,HAULING,HAULING,10
Smurfit Westrock,SMURFIT WESTROCK,SMURFIT WESTROCK,10
EDCO DISPOSAL CORPORATION,EDCO DISPOSAL CORPORATION,EDCO DISPOSAL CORPORATION,10
"Athens Services Waste Collection, Recycling &","ATHENS SERVICES WASTE COLLECTION, RECYCLING &",ATHENS SERVICES WASTE COLLECTION RECYCLING,10
VISTA RECYCLING\nINC,VISTA RECYCLING\NINC,VISTA RECYCLING NINC,10
WASATCH COUNTY,WASATCH COUNTY,WASATCH COUNTY,10
FRONTIER WASTE - HOUSTON,FRONTIER WASTE - HOUSTON,FRONTIER WASTE HOUSTON,10
WASATCH COUNTY SOLID WASTE SSD,WASATCH COUNTY SOLID WASTE SSD,WASATCH COUNTY SOLID WASTE SSD,10
SSW-FRONTLOAD,SSW-FRONTLOAD,SSW FRONTLOAD,10
PALMETTO HAULING,PALMETTO HAULING,PALMETTO HAULING,10
HEIBERG,HEIBERG,HEIBERG,10
HHEIBERG,HHEIBERG,HHEIBERG,10
F&L Construction Inc,F&L CONSTRUCTION INC,F L CONSTRUCTION,10
TEXAS PRIDE\nDISPOSAL,TEXAS PRIDE\NDISPOSAL,TEXAS PRIDE NDISPOSAL,10
Becker360,BECKER360,BECKER360,10
"METALS, INC.","METALS, INC.",METALS,10
Dekalb County Georgia,DEKALB COUNTY GEORGIA,DEKALB COUNTY GEORGIA,10
"TRUCKING,Inc","TRUCKING,INC",TRUCKING,10
Environmental Fleet Services,ENVIRONMENTAL FLEET SERVICES,ENVIRONMENTAL FLEET SERVICES,10
SEASIDE,SEASIDE,SEASIDE,10
AMERICAN DISPOSAL SYSTEMS,AMERICAN DISPOSAL SYSTEMS,AMERICAN DISPOSAL SYSTEMS,10
Okon Recycling,OKON RECYCLING,OKON RECYCLING,10
Curbside,CURBSIDE,CURBSIDE,9
Solid Waste,SOLID WASTE,SOLID WASTE,9
Junk King,JUNK KING,JUNK KING,9
Nitti,NITTI,NITTI,9
PAK\n?\nRITE,PAK\N?\NRITE,PAK N NRITE,9
"Waste Connections of lowa, Inc.","WASTE CONNECTIONS OF LOWA, INC.",WASTE CONNECTIONS OF LOWA,9
Pelican\nWaste & Debris,PELICAN\NWASTE & DEBRIS,PELICAN NWASTE DEBRIS,9
Lakeside Disposal Four Generations of Talking Trash,LAKESIDE DISPOSAL FOUR GENERATIONS OF TALKING TRASH,LAKESIDE DISPOSAL FOUR GENERATIONS OF TALKING TRASH,9
SANIPAC INC,SANIPAC INC,SANIPAC,9
MECHAM Jay Mecham's Country Garbage,MECHAM JAY MECHAM'S COUNTRY GARBAGE,MECHAM JAY MECHAM S COUNTRY GARBAGE,9
CLEANSLATE,CLEANSLATE,CLEANSLATE,9
"FCC Houston Waste Services, LLC","FCC HOUSTON WASTE SERVICES, LLC",FCC HOUSTON WASTE SERVICES,9
Community Waste,COMMUNITY WASTE,COMMUNITY WASTE,9
"Athens Services Waste Collection, Recycling","ATHENS SERVICES WASTE COLLECTION, RECYCLING",ATHENS SERVICES WASTE COLLECTION RECYCLING,9
"Waste Control, Inc.","WASTE CONTROL, INC.",WASTE CONTROL,9
Western Kane County Special,WESTERN KANE COUNTY SPECIAL,WESTERN KANE COUNTY SPECIAL,9
"Parish Disposal, LLC","PARISH DISPOSAL, LLC",PARISH DISPOSAL,9
"Bulldog Disposal & Recycling, Inc.","BULLDOG DISPOSAL & RECYCLING, INC.",BULLDOG DISPOSAL RECYCLING,9
WASTE CONNECTIONS OF NEBRASKA INC.,WASTE CONNECTIONS OF NEBRASKA INC.,WASTE CONNECTIONS OF NEBRASKA,9
